what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350614980104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1350614983480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350614985098
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350614988704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350614990002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350614992009
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350614992752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350614994619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615012690
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350615026023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615028731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615036094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615091759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615143813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350615146155
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350615149416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615150996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615153679
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350615156314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615156354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615272505
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350615278928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350615282173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615291733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615618027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615630015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1350615630060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615655827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350615673263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350615679294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350615697061
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftRight",1350615739089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615766428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615801454
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350615847442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615889996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615894289
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350615895191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615951946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1350615963060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350615984696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350616006472
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350616007344
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350616008447
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350616009151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350616011862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350616040645
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftRight",1350616083000
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftRight",1350616086057
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftRight",1350616089253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350616141068
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350616144353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616166091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616214981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616226973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616291199
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350616296809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350616307030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350616324356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1350616414275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616435164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616584893
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350616595476
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350616596222
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350616597017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616597821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1350616597874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616603583
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350616604173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350616672579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350616681460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350616686434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1350616707127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350616719394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1350616839235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350616842097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350616907486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350616908161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350616908592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350616908963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350616909227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350616909750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350616910178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616943538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616978283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616991836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616992783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350616996676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617010008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617013603
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350617032684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617032773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617036079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617038014
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350617038937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617040784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617088313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617090329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617091414
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350617096633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617121039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617138579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350617145537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617148951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617149990
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350617151365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617152502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617155390
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350617155704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617156686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617241395
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350617253607
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350617439719
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350617440997
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350617442234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350617450035
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350617451046
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350617452221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350617459386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350617510645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350617511278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350617511708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350617512147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350617512484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617678672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617738503
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1350617761571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350617762652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617798402
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350617864526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350617864620
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350617874616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350617883107
