what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1350569036426
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1350569036592
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1350569036668
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350569036713
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350569036896
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1350569038106
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350569047052
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350569047072
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350569056571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569124353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569306743
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350569337405
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1350569365804
error,log,,,"Error in JSDT Core during reconcile",1350569365805
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1350569367339
error,log,,,"Error in JSDT Core during reconcile",1350569367364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350569368831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350569368940
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1350569370362
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1350569370956
error,log,,,"Error in JSDT Core during reconcile",1350569370986
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1350569392060
error,log,,,"Error in JSDT Core during reconcile",1350569392121
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1350569393652
error,log,,,"Error in JSDT Core during reconcile",1350569393665
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1350569395698
error,log,,,"Error in JSDT Core during reconcile",1350569395765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569397683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569400495
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1350569402801
error,log,,,"Error in JSDT Core during reconcile",1350569402802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569403989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569420500
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1350569425863
error,log,,,"Error in JSDT Core during reconcile",1350569425864
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1350569427383
error,log,,,"Error in JSDT Core during reconcile",1350569427384
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1350569428406
error,log,,,"Error in JSDT Core during reconcile",1350569428407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350569450115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569452558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569453820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350569458103
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1350569458984
error,log,,,"Error in JSDT Core during reconcile",1350569458985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350569464290
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350569466186
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1350569466975
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1350569466992
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1350569467072
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1350569467287
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1350569467304
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1350569467360
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1350569467392
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1350569467412
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1350569467604
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1350569467606
started,bundle,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch",1350569467736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569467780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569470207
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1350569475494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569475521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569498623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569500321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569508054
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350569512526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350569516162
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1350569518690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569519664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350569521705
